taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	kingdom	phylum	class	order	family	genus
1339320	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		10985307	Eufriesea auriceps (Friese, 1899)	(Friese, 1899)	Eufriesea auriceps	Eufriesea	auriceps		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1339299	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		11028605	Eufriesea distinguenda (Gribodo, 1882)	(Gribodo, 1882)	Eufriesea distinguenda	Eufriesea	distinguenda		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1344552	7ddf754f-d193-4cc9-b351-99906754a03b	1344522		11033476	Tetragonula zucchii (Sakagami, 1978)	(Sakagami, 1978)	Tetragonula zucchii	Tetragonula	zucchii		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Tetragonula
10858691	7ddf754f-d193-4cc9-b351-99906754a03b	1344522		8211485	Tetragonula collina (Smith, 1857)	(Smith, 1857)	Tetragonula collina	Tetragonula	collina		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Tetragonula
1344543	7ddf754f-d193-4cc9-b351-99906754a03b	1344522		11009262	Tetragonula minor (Sakagami, 1978)	(Sakagami, 1978)	Tetragonula minor	Tetragonula	minor		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Tetragonula
1339276	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		10962695	Eufriesea rugosa (Friese, 1899)	(Friese, 1899)	Eufriesea rugosa	Eufriesea	rugosa		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1339312	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		11056751	Eufriesea elegans (Lepeletier, 1841)	(Lepeletier, 1841)	Eufriesea elegans	Eufriesea	elegans		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1339309	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		11075603	Eufriesea macroglossa (Moure, 1965)	(Moure, 1965)	Eufriesea macroglossa	Eufriesea	macroglossa		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1339275	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		11034523	Eufriesea limbata (Mocsáry, 1897)	(Mocsáry, 1897)	Eufriesea limbata	Eufriesea	limbata		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1344540	7ddf754f-d193-4cc9-b351-99906754a03b	1344522		11099724	Tetragonula gressitti (Sakagami, 1978)	(Sakagami, 1978)	Tetragonula gressitti	Tetragonula	gressitti		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Tetragonula
1339294	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		10913801	Eufriesea venusta (Moure, 1965)	(Moure, 1965)	Eufriesea venusta	Eufriesea	venusta		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1339315	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		11041129	Eufriesea fragrocara (Kimsey, 1977)	(Kimsey, 1977)	Eufriesea fragrocara	Eufriesea	fragrocara		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1339266	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		10945421	Eufriesea lucida (Kimsey, 1977)	(Kimsey, 1977)	Eufriesea lucida	Eufriesea	lucida		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
10762060	7ddf754f-d193-4cc9-b351-99906754a03b	1345648		11039039	Scaura timida (Silvestri, 1902)	(Silvestri, 1902)	Scaura timida	Scaura	timida		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Scaura
1339298	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		11036755	Eufriesea purpurata (Mocsáry, 1896)	(Mocsáry, 1896)	Eufriesea purpurata	Eufriesea	purpurata		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1339288	7ddf754f-d193-4cc9-b351-99906754a03b	1339261		11053765	Eufriesea dressleri (Kimsey, 1977)	(Kimsey, 1977)	Eufriesea dressleri	Eufriesea	dressleri		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Eufriesea
1339759	7ddf754f-d193-4cc9-b351-99906754a03b	1339758			Afromelecta lieftincki Eardley, 1991	Eardley, 1991	Afromelecta lieftincki	Afromelecta	lieftincki		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Afromelecta
1339760	7ddf754f-d193-4cc9-b351-99906754a03b	1339758		6137247	Afromelecta bicuspis (Stadelmann, 1898)	(Stadelmann, 1898)	Afromelecta bicuspis	Afromelecta	bicuspis		species		Michener, C.D. 2000. The Bees of the World. 913 pp. The Johns Hopkins University Press, Baltimore and London	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Afromelecta
1339761	7ddf754f-d193-4cc9-b351-99906754a03b	1339758		6137246	Afromelecta fulvohirta (Cameron, 1905)	(Cameron, 1905)	Afromelecta fulvohirta	Afromelecta	fulvohirta		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Afromelecta
10737241	4cec8fef-f129-4966-89b7-4f8439aba058	1341981			BOLD:AEA6197						unranked			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Trigonisca
